,City,Humidity,Min Temp,Max Temp,Wind Speed,Cloudiness,Date,Country,Sunrise,Sunset,Lat,Lon
0,Innisfail,79,-6.0,-6.0,1.5,40,1547413200,CA,1547393874,1547423530,52.02,-113.95
1,Churapcha,0,-45.77,-45.77,1.17,12,1547415950,RU,1547338679,1547360440,62.0,132.43
2,Odiongan,100,25.81,25.81,7.72,80,1547415950,PH,1547331411,1547372693,12.4,121.99
3,Luanda,83,26.0,26.0,3.1,40,1547413200,AO,1547355497,1547400812,-8.83,13.24
4,Kavieng,100,28.58,28.58,5.47,48,1547415784,PG,1547323071,1547367195,-2.57,150.8
5,Westport,92,8.18,8.18,7.52,56,1547415934,IE,1547369335,1547397931,53.8,-9.52
6,Mengyin,65,-9.52,-9.52,1.22,24,1547415951,CN,1547335074,1547370989,35.71,117.93
7,Avarua,74,29.0,29.0,3.6,40,1547413200,CK,1547395765,1547443607,-21.21,-159.78
8,Albany,44,-8.0,-6.0,3.6,20,1547414280,US,1547382180,1547415918,42.65,-73.75
9,Rikitea,99,26.46,26.46,5.17,76,1547415795,PF,1547389593,1547437867,-23.12,-134.97
10,Sao Miguel do Araguaia,61,30.73,30.73,1.77,80,1547415952,BR,1547370279,1547416467,-13.28,-50.16
11,Mataura,88,12.93,12.93,4.57,92,1547415952,NZ,1547313045,1547368516,-46.19,168.86
12,Rosetta,100,11.03,11.03,5.97,92,1547415953,EG,1547355486,1547392592,31.4,30.42
13,Leh,56,-29.72,-29.72,1.02,8,1547415953,IN,1547344538,1547380898,34.16,77.58
14,Tuktoyaktuk,74,-32.0,-32.0,6.7,40,1547413200,CA,1547411604,1547414978,69.44,-133.03
15,Clyde River,65,-38.0,-38.0,3.6,75,1547413200,CA,0,0,70.47,-68.59
16,Bredasdorp,72,20.0,20.0,1.5,32,1547413200,ZA,1547350896,1547402131,-34.53,20.04
17,Galle,54,11.7,13.9,5.7,1,1547412960,US,1547386072,1547423619,29.74,-97.91
18,Farafangana,100,26.18,26.18,4.77,44,1547415954,MG,1547345733,1547393960,-22.82,47.83
19,Ancud,52,18.0,18.0,3.6,0,1547413200,CL,1547372224,1547425863,-41.87,-73.83
20,Bowen,94,23.0,23.0,4.1,90,1547413200,AU,1547321935,1547369546,-20.01,148.25
21,Narsaq,62,-4.0,-4.0,3.6,8,1547412600,GL,1547380871,1547403940,60.91,-46.05
22,Qaanaaq,100,-31.97,-31.97,4.37,0,1547415954,GL,0,0,77.48,-69.36
23,Hermanus,95,14.06,14.06,1.47,12,1547415954,ZA,1547351104,1547402307,-34.42,19.24
24,Bethel,91,-11.1,-0.6,3.6,90,1547414160,US,1547408549,1547431816,60.79,-161.76
25,Puerto Ayora,78,26.0,26.0,7.2,75,1547413200,EC,1547381135,1547424913,-0.74,-90.35
26,Dicabisagan,100,23.06,23.06,4.57,92,1547415955,PH,1547331777,1547372123,17.08,122.42
27,Kodiak,96,-1.6,0.0,2.1,1,1547415300,US,1547386760,1547421423,39.95,-94.76
28,Ushuaia,57,10.0,14.0,10.3,75,1547413200,AR,1547367596,1547427811,-54.81,-68.31
29,Dodola,29,22.93,22.93,2.87,0,1547415956,BF,1547361259,1547402990,10.12,-3.28
30,Cape Town,82,16.0,16.0,2.6,20,1547413200,ZA,1547351373,1547402433,-33.93,18.42
31,Busselton,100,15.31,15.31,8.07,0,1547415956,AU,1547328137,1547379131,-33.64,115.35
32,Timbuktu,24,18.06,18.06,5.02,0,1547415956,ML,1547361851,1547402271,16.77,-3.01
33,Kapaa,62,25.6,26.1,5.1,75,1547412960,US,1547399924,1547439248,22.08,-159.32
34,Alofi,70,29.0,29.0,4.6,0,1547413200,NU,1547398434,1547445808,-19.06,-169.92
35,Chokurdakh,42,-32.67,-32.67,0.77,24,1547415957,RU,0,0,70.62,147.9
36,Letlhakane,81,21.18,21.18,5.02,48,1547415957,BW,1547351232,1547399141,-21.42,25.59
37,Abu Kamal,39,8.73,8.73,5.92,0,1547415957,SY,1547353375,1547389662,34.45,40.92
38,Rondonopolis,73,28.93,28.93,1.12,12,1547415957,BR,1547371030,1547417866,-16.46,-54.64
39,Namatanai,100,26.38,26.38,5.27,20,1547415958,PG,1547322573,1547366905,-3.66,152.44
40,Boguchany,63,-29.82,-29.82,1.22,0,1547415958,RU,1547345295,1547370611,58.38,97.46
41,Ibra,99,12.88,12.88,0.87,0,1547415958,OM,1547347700,1547386867,22.69,58.55
42,Vaini,79,14.88,14.88,1.17,0,1547415958,IN,1547343105,1547383807,15.34,74.49
43,Sitka,88,1.93,1.93,2.07,32,1547415959,US,1547387499,1547423030,37.17,-99.65
44,Isangel,100,26.08,26.08,2.52,44,1547415762,VU,1547316939,1547364451,-19.55,169.27
45,Hobart,59,18.0,18.0,1.5,0,1547413200,AU,1547318910,1547372993,-42.88,147.33
46,Punta Arenas,54,13.0,13.0,11.8,40,1547413200,CL,1547368781,1547427880,-53.16,-70.91
47,Lebu,54,2.58,2.58,1.87,0,1547415714,ET,1547351064,1547393015,8.96,38.73
48,Jacksonville,57,20.0,23.3,2.1,40,1547414100,US,1547382246,1547419643,30.33,-81.66
49,Husavik,97,-7.45,-7.45,2.07,88,1547415721,CA,1547389424,1547419836,50.56,-96.99
50,Vanimo,100,27.86,27.86,7.37,88,1547415960,PG,1547325342,1547369485,-2.67,141.3
51,Conneaut,68,-2.2,-1.7,4.1,1,1547412780,US,1547383687,1547417674,41.95,-80.55
52,Mlalo,88,19.28,19.28,0.97,8,1547415960,TZ,1547349876,1547394379,-4.58,38.35
53,Tautira,74,29.0,29.0,7.7,40,1547411400,PF,1547393589,1547440682,-17.73,-149.15
54,Paita,290,17.0,17.0,8.7,0,1547413200,PE,1547378507,1547423103,-5.09,-81.11
55,Preobrazheniye,65,-20.47,-20.47,0.87,0,1547415961,RU,1547332401,1547365994,42.9,133.91
56,Taoudenni,29,10.33,10.33,4.92,0,1547415961,ML,1547362707,1547401883,22.68,-3.98
57,Chuy,100,21.83,21.83,5.92,92,1547415757,UY,1547368670,1547419647,-33.69,-53.46
58,Hilo,62,25.0,25.0,3.1,90,1547412780,US,1547398654,1547438481,19.71,-155.08
59,Tiznit,81,11.33,11.33,1.67,0,1547415962,MA,1547364905,1547402449,29.7,-9.73
60,Balkanabat,72,0.88,0.88,0.87,56,1547415962,TM,1547350908,1547385679,39.51,54.36
61,Dikson,99,-16.82,-16.82,13.52,80,1547415739,RU,0,0,73.51,80.55
62,Tursunzoda,40,1.0,1.0,4.0,0,1547415000,UZ,1547347421,1547382506,38.51,68.23
63,New Norfolk,59,18.0,18.0,1.5,0,1547413200,AU,1547318994,1547373038,-42.78,147.06
64,Port Elizabeth,81,-1.7,0.0,6.7,90,1547413260,US,1547381910,1547416776,39.31,-74.98
65,Rudnichnyy,72,-6.72,-6.72,3.02,64,1547415963,RU,1547354786,1547378967,59.7,60.29
66,Upata,41,29.81,29.81,4.37,0,1547415963,VE,1547375252,1547417386,8.02,-62.41
67,Castro,52,18.0,18.0,3.6,0,1547413200,CL,1547372092,1547425961,-42.48,-73.76
68,Mar del Plata,24,26.46,26.46,2.67,0,1547415727,AR,1547369773,1547425277,-46.43,-67.52
69,Ribeira Grande,72,16.0,16.0,4.1,75,1547413200,PT,1547370681,1547405785,38.52,-28.7
70,Morro Bay,59,12.2,15.6,4.1,1,1547412960,US,1547392324,1547428384,35.37,-120.85
71,Saint-Philippe,66,-14.0,-11.0,1.0,90,1547415300,CA,1547382625,1547415344,45.36,-73.48
72,Baherden,66,5.11,5.11,3.32,80,1547415965,TM,1547350001,1547385111,38.44,57.43
73,Saldanha,84,-3.27,-3.27,1.22,0,1547415733,PT,1547365841,1547399992,41.42,-6.55
74,Emporia,92,-1.7,-1.7,3.6,90,1547414940,US,1547386854,1547422010,38.4,-96.18
